BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
en_ASV_00168	54	92	70	37	0	0	8	17	0	28	23	127	95	94	76	35	0	1	0	0	0	59	35	62	164	33	158	28	0	0	7	0	15	27	46	47	72	108	14	3	4	21	0	1	0	2	47	82	164	80	29	10	15	0	0	0	6	41	54	76	111	48	35	0	0	0	0	5	5	8	63	178	208	268	67	0	2	1	1	4	4	18	49	98	95	124	45	2	3	1	0	1	0	13	50	84	87	118	66	0	2	0	1	0	0	0	59	52	40	76	76	0	0	0	0	0	3	11	5	132
en_ASV_00683	11	15	15	9	0	0	0	0	0	11	0	45	25	14	14	14	0	0	0	0	0	0	0	16	22	0	8	0	0	0	0	0	0	0	10	18	32	29	0	0	0	0	0	0	0	0	16	49	14	29	2	0	0	0	0	0	0	4	5	15	11	0	0	0	0	0	0	0	0	0	12	57	12	21	20	0	0	0	0	0	0	2	12	27	21	6	14	0	0	0	0	0	1	0	12	21	18	5	6	0	0	0	0	0	0	0	15	9	20	0	0	0	0	0	0	0	2	0	12	25
bp_ASV_000064	0	0	0	0	54	63	36	0	0	5	0	0	0	0	6	43	52	30	9	71	0	0	0	0	0	0	0	0	45	86	65	17	13	0	0	0	0	0	0	0	75	80	23	0	0	0	0	0	0	0	0	0	22	157	20	13	10	9	0	0	0	0	0	0	180	86	57	0	37	0	0	0	0	0	0	0	0	81	148	10	0	50	0	0	0	0	0	39	42	78	43	25	0	0	0	0	0	0	0	0	30	59	13	50	7	5	3	0	0	0	0	0	10	32	49	10	8	10	4	0
en_ASV_00879	10	16	3	0	0	0	0	0	0	0	10	25	11	6	3	0	0	0	0	0	0	0	0	31	20	0	16	0	0	0	0	0	0	0	0	13	25	11	0	0	0	0	0	0	0	0	4	11	23	11	0	0	0	0	0	0	0	0	10	26	36	2	5	0	0	0	0	0	0	0	0	26	17	36	0	0	0	0	0	0	0	0	6	9	18	12	2	0	0	0	0	0	0	0	4	9	18	18	5	0	0	0	0	0	0	0	3	12	21	4	7	0	0	0	0	0	0	0	0	0
en_ASV_00053	280	58	52	0	3	0	0	0	94	72	52	151	363	206	31	0	0	0	0	0	0	104	0	559	237	17	69	55	0	0	0	0	0	15	0	288	689	486	75	0	0	0	113	0	0	50	27	241	557	24	15	26	19	0	0	0	0	47	513	612	345	63	79	0	0	0	0	0	0	18	191	185	331	247	0	0	5	0	24	0	0	26	162	359	324	255	28	3	2	2	19	0	0	11	87	379	128	259	46	1	1	2	0	0	0	0	37	388	70	284	65	0	0	3	0	0	0	0	56	355
bp_ASV_000213	18	11	6	0	0	0	0	0	0	0	18	48	25	9	0	0	0	0	0	0	29	1	19	41	30	10	5	0	0	0	0	0	0	0	0	18	19	7	3	0	0	0	0	0	0	0	6	42	11	12	1	0	0	0	0	0	0	0	36	0	50	2	3	0	0	0	0	0	0	0	34	26	54	16	9	0	0	0	0	0	0	0	17	33	11	12	2	0	0	0	0	0	0	0	11	9	19	14	11	0	0	0	0	0	0	1	15	28	12	8	3	2	0	0	0	0	0	0	4	25
bn_ASV_000213	23	11	9	0	0	0	0	0	0	0	2	25	19	4	13	0	0	0	0	0	0	0	17	14	23	4	1	0	0	0	0	0	0	0	14	17	10	12	0	0	0	0	0	0	0	0	8	13	14	1	0	0	0	0	0	0	0	0	13	29	17	6	1	0	0	0	0	0	0	0	12	13	31	9	2	0	0	0	0	0	0	0	13	16	18	4	2	1	0	0	0	0	0	0	13	14	12	4	1	2	0	0	0	0	0	0	15	9	0	0	0	5	0	0	0	0	0	0	2	24
bn_ASV_000380	0	0	0	0	0	0	0	0	0	0	15	17	17	0	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	3	16	0	0	0	0	1	0	0	0	7	5	2	12	13	4	0	0	0	0	0	0	0	4	4	15	21	3	1	0	0	0	0	0	0	0	4	11	20	10	0	0	0	0	0	0	2	1	4	12	11	10	2	0	0	0	0	0	0	2	5	12	10	11	2	0	0	0	0	0	0	4	4	6	16	13	4	0	0	0	0	0	0	0	5	3
bn_ASV_000170	32	18	6	0	0	0	0	0	0	0	0	11	37	8	20	0	0	0	0	0	0	0	0	0	28	9	6	0	0	0	0	0	0	0	10	10	9	17	4	0	0	0	0	0	0	0	9	24	33	11	7	1	0	0	0	0	0	0	34	43	49	10	5	0	0	0	0	0	0	0	15	39	49	24	4	0	0	0	0	0	0	0	15	33	43	19	5	0	0	0	0	0	0	0	12	19	46	19	2	0	0	0	0	0	0	0	6	7	0	23	3	0	0	0	0	0	0	0	2	25
bp_ASV_000170	30	6	8	0	0	0	0	0	0	0	12	35	42	27	0	0	0	0	0	0	41	0	7	49	45	10	4	0	0	0	0	0	0	0	0	25	17	21	7	0	0	0	0	0	0	0	12	41	37	12	7	0	0	0	0	0	0	0	23	43	40	5	2	0	0	0	0	0	0	0	29	31	61	23	8	0	0	0	0	0	0	0	67	54	30	13	6	0	0	0	0	0	0	0	3	10	12	10	0	0	0	0	0	0	0	0	9	11	10	18	9	0	0	0	0	0	0	0	3	22
